...1,Label,Area,Mean,Min,Max,IntDen,RawIntDen
783,MAX_20220729_Mdr_GFP_lac_GD_L5_S3R_C3.tif,339.496,238.098,0,255,80833.296,19132140
784,MAX_20220729_Mdr_GFP_lac_GD_L5_S3R_C3.tif,14.251,249.179,0,255,3551.028,840480
785,MAX_20220729_Mdr_GFP_lac_GD_L5_S3R_C3.tif,6.038,255,255,255,1539.569,364395
786,MAX_20220729_Mdr_GFP_lac_GD_L5_S3R_C3.tif,4.28,255,255,255,1091.381,258315
787,MAX_20220729_Mdr_GFP_lac_GD_L5_S4L_C1.tif,25.401,255,255,255,6477.179,1533060
788,MAX_20220729_Mdr_GFP_lac_GD_L5_S4L_C1.tif,81.745,255,255,255,20845.053,4933740
789,MAX_20220729_Mdr_GFP_lac_GD_L5_S4L_C3.tif,76.096,254.802,0,255,19389.519,4589235
790,MAX_20220729_Mdr_GFP_lac_GD_L5_S4L_C3.tif,157.732,253.777,0,255,40028.793,9474270
791,MAX_20220729_Mdr_GFP_lac_GD_L5_S4R_C1.tif,178.777,254.006,0,255,45410.281,10747995
792,MAX_20220729_Mdr_GFP_lac_GD_L5_S4R_C1.tif,9.447,255,255,255,2409.011,570180
793,MAX_20220729_Mdr_GFP_lac_GD_L5_S4R_C3.tif,396.335,234.854,0,255,93080.895,22030980
794,MAX_20220729_Mdr_GFP_lac_GD_L5_S4R_C3.tif,21.121,255,255,255,5385.798,1274745
795,MAX_20220729_Mdr_GFP_lac_GD_L5_S4R_C3.tif,2.505,255,255,255,638.883,151215
796,MAX_20220729_Mdr_GFP_lac_GD_L5_S4R_C3.tif,15.083,255,255,255,3846.229,910350
797,MAX_20220729_Mdr_GFP_lac_GD_L5_S4R_C3.tif,2.755,255,255,255,702.449,166260
798,MAX_20220729_Mdr_GFP_lac_GD_L5_S5L_C1.tif,67.452,255,255,255,17200.293,4071075
799,MAX_20220729_Mdr_GFP_lac_GD_L5_S5L_C3.tif,240.466,254.462,0,255,61189.516,14482725
800,MAX_20220729_Mdr_GFP_lac_GD_L5_S5L_C3.tif,17.703,250.314,0,255,4431.244,1048815
801,MAX_20220729_Mdr_GFP_lac_GD_L5_S5L_C3.tif,9.194,255,255,255,2344.368,554880
802,MAX_20220729_Mdr_GFP_lac_GD_L5_S5R_C1.tif,65.64,255,255,255,16738.099,3961680
803,MAX_20220729_Mdr_GFP_lac_GD_L5_S5R_C1.tif,2.451,255,255,255,624.878,147900
804,MAX_20220729_Mdr_GFP_lac_GD_L5_S5R_C3.tif,2.341,255,255,255,596.866,141270
805,MAX_20220729_Mdr_GFP_lac_GD_L5_S5R_C3.tif,201.254,252.066,0,255,50729.282,12006930
806,MAX_20220729_Mdr_GFP_lac_GD_L5_S5R_C3.tif,4.141,255,255,255,1055.828,249900
807,MAX_20220729_Mdr_GFP_lac_GD_L6_S3L_C1.tif,3.866,255,255,255,985.798,233325
