...1,Label,Area,Mean,Min,Max,IntDen,RawIntDen
406,MAX_20221220_46F_Gal4_cd8_GFP_KK_L2_S5L_C1.tif,23.085,254.953,0,255,5885.7,1393065
407,MAX_20221220_46F_Gal4_cd8_GFP_KK_L2_S5L_C3.tif,446.912,252.483,0,255,112837.799,26707170
408,MAX_20221220_46F_Gal4_cd8_GFP_KK_L2_S5L_C3.tif,8.636,255,255,255,2202.155,521220
409,MAX_20221220_46F_Gal4_cd8_GFP_KK_L2_S5R_C1.tif,45.233,254.929,0,255,11531.145,2729265
410,MAX_20221220_46F_Gal4_cd8_GFP_KK_L2_S5R_C3.tif,325.832,251.052,0,255,81800.778,19361130
411,MAX_20221220_46F_Gal4_cd8_GFP_KK_L3_S2L_C1.tif,63.59,237.99,0,255,15133.887,3581985
412,MAX_20221220_46F_Gal4_cd8_GFP_KK_L3_S2L_C1.tif,86.9,253.661,0,255,22043.094,5217300
413,MAX_20221220_46F_Gal4_cd8_GFP_KK_L3_S2L_C3.tif,744.821,250.941,0,255,186906.256,44238165
414,MAX_20221220_46F_Gal4_cd8_GFP_KK_L3_S3L_C1.tif,74.457,254.957,0,255,18983.348,4493100
415,MAX_20221220_46F_Gal4_cd8_GFP_KK_L3_S3L_C3.tif,413.475,254.257,0,255,105129.18,24882645
416,MAX_20221220_46F_Gal4_cd8_GFP_KK_L3_S3L_C3.tif,2.421,255,255,255,617.336,146115
417,MAX_20221220_46F_Gal4_cd8_GFP_KK_L3_S4L_C1.tif,74.69,254.986,0,255,19044.759,4507635
418,MAX_20221220_46F_Gal4_cd8_GFP_KK_L3_S4L_C3.tif,508.31,251.191,0,255,127682.95,30220815
419,MAX_20221220_46F_Gal4_cd8_GFP_KK_L3_S4R_C1.tif,128.182,252.84,0,255,32409.596,7670910
420,MAX_20221220_46F_Gal4_cd8_GFP_KK_L3_S4R_C3.tif,4.952,255,255,255,1262.684,298860
421,MAX_20221220_46F_Gal4_cd8_GFP_KK_L3_S4R_C3.tif,41.904,254.974,0,255,10684.328,2528835
422,MAX_20221220_46F_Gal4_cd8_GFP_KK_L3_S4R_C3.tif,367.765,254.153,0,255,93468.75,22122780
423,MAX_20221220_46F_Gal4_cd8_GFP_KK_L3_S5L_C1.tif,4792.447,254.983,0,255,1221992.185,289228905
424,MAX_20221220_46F_Gal4_cd8_GFP_KK_L3_S5L_C3.tif,320.91,254.725,0,255,81743.677,19347615
425,MAX_20221220_46F_Gal4_cd8_GFP_KK_L3_S5R_C1.tif,38.933,254.889,0,255,9923.702,2348805
426,MAX_20221220_46F_Gal4_cd8_GFP_KK_L3_S5R_C3.tif,259.347,253.874,0,255,65841.622,15583815
427,MAX_20221220_46F_Gal4_cd8_GFP_KK_L4_S2L_C1.tif,78.691,231.136,0,255,18188.246,4304910
428,MAX_20221220_46F_Gal4_cd8_GFP_KK_L4_S2L_C1.tif,77.888,253.063,0,255,19710.577,4665225
429,MAX_20221220_46F_Gal4_cd8_GFP_KK_L4_S2L_C1.tif,2.176,255,255,255,554.848,131325
430,MAX_20221220_46F_Gal4_cd8_GFP_KK_L4_S2L_C3.tif,128.837,246.303,0,255,31733.005,7510770
431,MAX_20221220_46F_Gal4_cd8_GFP_KK_L4_S2L_C3.tif,141.445,253.705,0,255,35885.208,8493540
432,MAX_20221220_46F_Gal4_cd8_GFP_KK_L4_S3L_C1.tif,203.421,252.309,0,255,51325.07,12147945
433,MAX_20221220_46F_Gal4_cd8_GFP_KK_L4_S3L_C3.tif,567.063,247.315,0,255,140242.988,33193605
434,MAX_20221220_46F_Gal4_cd8_GFP_KK_L4_S3L_C3.tif,2.079,255,255,255,530.069,125460
435,MAX_20221220_46F_Gal4_cd8_GFP_KK_L4_S3L_C3.tif,2.167,255,255,255,552.693,130815
436,MAX_20221220_46F_Gal4_cd8_GFP_KK_L4_S3L_C3.tif,3.743,254.137,0,255,951.322,225165
437,MAX_20221220_46F_Gal4_cd8_GFP_KK_L4_S3L_C3.tif,7.001,255,255,255,1785.21,422535
438,MAX_20221220_46F_Gal4_cd8_GFP_KK_L4_S3L_C3.tif,4.969,255,255,255,1266.993,299880
439,MAX_20221220_46F_Gal4_cd8_GFP_KK_L4_S3L_C3.tif,3.038,255,255,255,774.633,183345
440,MAX_20221220_46F_Gal4_cd8_GFP_KK_L4_S3L_C3.tif,4.069,255,255,255,1037.512,245565
441,MAX_20221220_46F_Gal4_cd8_GFP_KK_L4_S3L_C3.tif,10.909,255,255,255,2781.782,658410
442,MAX_20221220_46F_Gal4_cd8_GFP_KK_L4_S4L_C1.tif,117.882,253.922,0,255,29932.711,7084665
443,MAX_20221220_46F_Gal4_cd8_GFP_KK_L4_S4L_C3.tif,388.379,248.714,0,255,96595.293,22862790
444,MAX_20221220_46F_Gal4_cd8_GFP_KK_L4_S4L_C3.tif,5.062,255,255,255,1290.695,305490
445,MAX_20221220_46F_Gal4_cd8_GFP_KK_L4_S5R_C1.tif,26.026,254.917,0,255,6634.476,1570290
446,MAX_20221220_46F_Gal4_cd8_GFP_KK_L4_S5R_C3.tif,248.248,254.792,0,255,63251.612,14970795
447,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L1_S2L_C1.tif,403.28,250.523,0,255,101030.846,23912625
448,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L1_S2L_C1.tif,3.887,236.152,0,255,917.924,217260
449,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L1_S2L_C3.tif,40.556,252.45,0,255,10238.295,2423265
450,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L1_S2L_C3.tif,3.262,254.009,0,255,828.501,196095
451,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L1_S2L_C3.tif,557.223,252.289,0,255,140581.284,33273675
452,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L1_S2L_C3.tif,14.179,238.588,0,255,3382.958,800700
453,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L1_S2L_C3.tif,2.379,249.112,0,255,592.556,140250
