 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
208,20221026_Nrv2_GFP_GD_L6_S2R_C3.tif,60.865,252.168,0,255,15348.285,3632730
209,20221026_Nrv2_GFP_GD_L6_S2R_C3.tif,41.037,254.974,0,255,10463.467,2476560
210,20221026_Nrv2_GFP_GD_L6_S2R_C3.tif,2.708,247.441,0,255,670.127,158610
211,20221026_Nrv2_GFP_GD_L6_S2R_C3.tif,2.193,255.000,255,255,559.158,132345
212,20221026_Nrv2_GFP_GD_L6_S3R_C1.tif,6.376,250.268,0,255,1595.592,377655
213,20221026_Nrv2_GFP_GD_L6_S3R_C3.tif,7.166,255.000,255,255,1827.228,432480
214,20221026_Nrv2_GFP_GD_L6_S3R_C3.tif,7.635,255.000,255,255,1946.817,460785
215,20221026_Nrv2_GFP_GD_L6_S3R_C3.tif,302.531,251.382,0,255,76050.828,18000195
216,20221026_Nrv2_GFP_GD_L6_S3R_C3.tif,3.241,255.000,255,255,826.347,195585
217,20221026_Nrv2_GFP_GD_L6_S4L_C1.tif,9.582,255.000,255,255,2443.487,578340
218,20221026_Nrv2_GFP_GD_L6_S4L_C1.tif,22.207,254.806,0,255,5658.374,1339260
219,20221026_Nrv2_GFP_GD_L6_S4L_C1.tif,2.138,254.496,0,255,544.074,128775
220,20221026_Nrv2_GFP_GD_L6_S4L_C3.tif,19.279,254.274,0,255,4902.056,1160250
221,20221026_Nrv2_GFP_GD_L6_S4L_C3.tif,20.931,253.868,0,255,5313.614,1257660
222,20221026_Nrv2_GFP_GD_L6_S4L_C3.tif,80.414,241.214,0,255,19397.060,4591020
223,20221026_Nrv2_GFP_GD_L6_S4L_C3.tif,2.332,255.000,255,255,594.711,140760
224,20221026_Nrv2_GFP_GD_L6_S4R_C1.tif,1268.066,254.956,0,255,323300.861,76520910
225,20221026_Nrv2_GFP_GD_L6_S4R_C3.tif,77.372,255.000,255,255,19729.969,4669815
226,20221026_Nrv2_GFP_GD_L6_S4R_C3.tif,9.316,255.000,255,255,2375.612,562275
227,20221026_Nrv2_GFP_GD_L6_S4R_C3.tif,32.199,255.000,255,255,8210.675,1943355
228,20221026_Nrv2_GFP_GD_L6_S4R_C3.tif,3.541,255.000,255,255,902.840,213690
229,20221026_Nrv2_GFP_GD_L6_S4R_C3.tif,4.576,254.765,0,255,1165.720,275910
230,20221026_Nrv2_GFP_GD_L6_S4R_C3.tif,3.503,255.000,255,255,893.144,211395
231,20221026_Nrv2_GFP_GD_L6_S5R_C1.tif,2459.432,254.677,0,255,626359.999,148250880
232,20221026_Nrv2_GFP_GD_L6_S5R_C3.tif,51.334,255.000,255,255,13090.107,3098250
233,20221026_Nrv2_GFP_GD_L6_S5R_C3.tif,14.783,255.000,255,255,3769.735,892245
234,20221026_Nrv2_GFP_GD_L6_S5R_C3.tif,8.771,255.000,255,255,2236.631,529380
235,20221026_Nrv2_GFP_GD_L6_S5R_C3.tif,2.298,255.000,255,255,586.092,138720
236,20221026_Nrv2_GFP_GD_L6_S5R_C3.tif,28.962,255.000,255,255,7385.406,1748025
237,20221027_Nrv2_GFP_KK_L1_S2L_C3.tif,4.964,255.000,255,255,1265.916,299625
238,20221027_Nrv2_GFP_KK_L1_S2L_C3.tif,6.223,255.000,255,255,1586.973,375615
239,20221027_Nrv2_GFP_KK_L1_S2L_C3.tif,9.840,244.270,0,255,2403.624,568905
240,20221027_Nrv2_GFP_KK_L1_S2L_C3.tif,323.703,246.846,0,255,79904.598,18912330
241,20221027_Nrv2_GFP_KK_L1_S2L_C3.tif,3.317,255.000,255,255,845.739,200175
242,20221027_Nrv2_GFP_KK_L1_S2L_C3.tif,3.760,255.000,255,255,958.864,226950
243,20221027_Nrv2_GFP_KK_L1_S2L_C3.tif,3.224,255.000,255,255,822.037,194565
244,20221027_Nrv2_GFP_KK_L1_S2L_C3.tif,56.066,250.061,0,255,14019.882,3318315
245,20221027_Nrv2_GFP_KK_L1_S2L_C3.tif,6.468,253.668,0,255,1640.842,388365
246,20221027_Nrv2_GFP_KK_L1_S2L_C3.tif,2.100,255.000,255,255,535.455,126735
247,20221027_Nrv2_GFP_KK_L1_S2L_C3.tif,17.627,255.000,255,255,4494.809,1063860
248,20221027_Nrv2_GFP_KK_L1_S2L_C3.tif,3.595,255.000,255,255,916.846,217005
249,20221027_Nrv2_GFP_KK_L1_S2L_C3.tif,2.936,255.000,255,255,748.776,177225
250,20221027_Nrv2_GFP_KK_L1_S3L_C1.tif,7.128,253.186,0,255,1804.603,427125
251,20221027_Nrv2_GFP_KK_L1_S3L_C3.tif,238.028,254.724,0,255,60631.436,14350635
252,20221027_Nrv2_GFP_KK_L1_S3L_C3.tif,2.387,255.000,255,255,608.717,144075
253,20221027_Nrv2_GFP_KK_L1_S3L_C3.tif,4.698,255.000,255,255,1198.041,283560
254,20221027_Nrv2_GFP_KK_L1_S3L_C3.tif,42.537,254.797,0,255,10838.393,2565300
255,20221027_Nrv2_GFP_KK_L1_S3R_C1.tif,2.066,242.485,0,255,500.979,118575
256,20221027_Nrv2_GFP_KK_L1_S3R_C3.tif,38.194,254.605,0,255,9724.387,2301630
257,20221027_Nrv2_GFP_KK_L1_S3R_C3.tif,429.205,246.395,0,255,105754.058,25030545
258,20221027_Nrv2_GFP_KK_L1_S3R_C3.tif,2.759,255.000,255,255,703.526,166515
259,20221027_Nrv2_GFP_KK_L1_S4L_C3.tif,285.395,254.456,0,255,72620.466,17188275
260,20221027_Nrv2_GFP_KK_L1_S4L_C3.tif,2.598,255.000,255,255,662.586,156825
261,20221027_Nrv2_GFP_KK_L1_S4L_C3.tif,2.734,255.000,255,255,697.062,164985
